,gid,id_merchant,id_brand,nama_merchant,alamat_merchant,phone_merchant,longitude,latitude,kode_desa,kode_brand,id_desa,geom,nama_brand,nama_sub_kategori,nama_kategori
967,4210137,4210137,672,F45 Training Mall Of Indonesia,"Mall Of Indonesia, Jl. Boulevard Bar. Raya No. 1, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara",,106.8921548,-6.1508898,3175050001,2404001,146913.0,POINT (106.8921548 -6.1508898),Fitness Center (Others),Fitness Center,Sport
968,5444606,5444606,824,"Holiday Inn Jakarta Kemayoran, An Ihg Hotel",Jl. Griya Utama Blok B No. 1,,106.854107299932,-6.14098300002855,3175030001,2019001,141576.0,POINT (106.854107299932 -6.14098300002855),Hotel Bintang 4 (Others),Hotel Bintang 4,Tourism
969,5444637,5444637,824,Sunlake Hotel,Sunter Jaya,,106.879391900013,-6.14663529994117,3175030002,2019001,142414.0,POINT (106.879391900013 -6.14663529994117),Hotel Bintang 4 (Others),Hotel Bintang 4,Tourism
970,5444772,5444772,824,Novotel Jakarta Mangga Dua Square,Jl. Gn. Sahari No. 1,,106.83185200007,-6.1381786000255,3175020003,2019001,121304.0,POINT (106.83185200007 -6.1381786000255),Hotel Bintang 4 (Others),Hotel Bintang 4,Tourism
971,4209514,4209514,603,Sunshine Kidz Preschool dan Daycare,"Jl. Taman Pluit Barat I No. 1 RT 14 RW 7, Pluit",083875253635,106.7865443,-6.1250584,3175010005,2014001,141057.0,POINT (106.7865443 -6.1250584),Daycare (Others),Daycare,Tourism
972,4206244,4206244,603,Defana Daycare,Pegangsaan Dua,08174147361,106.9176129,-6.1545584,3175050003,2014001,115.0,POINT (106.9176129 -6.1545584),Daycare (Others),Daycare,Tourism
973,5445167,5445167,823,Pop! Hotel Kelapa Gading Jakarta,Kelapa Gading Timur,,106.9089664,-6.1559573,3175050002,2018001,148219.0,POINT (106.9089664 -6.1559573),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
974,5445168,5445168,823,1o1 Urban Jakarta Kelapa Gading,Kelapa Gading Barat,,106.8941893,-6.1575256,3175050001,2018001,146913.0,POINT (106.8941893 -6.1575256),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
975,5445169,5445169,823,Wisma Gading Indah (wgi),Jl. Perjuangan,,106.9094174,-6.1405768,3175040002,2018001,145085.0,POINT (106.9094174 -6.1405768),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
976,4209452,4209452,672,Refit Gym PIK,"Jl. Pantai Indah Kapuk No. 30, Kamal Muara, Penjaringan, Jakarta Utara",,106.7408883,-6.1109259,3175010001,2404001,139464.0,POINT (106.7408883 -6.1109259),Fitness Center (Others),Fitness Center,Sport
977,4209483,4209483,672,Vosgo Fitness Pejagalan,"Jl. Terusan Bandengan, Pejagalan, Penjaringan, Jakarta Utara",,106.7919912,-6.1375451,3175010003,2404001,140006.0,POINT (106.7919912 -6.1375451),Fitness Center (Others),Fitness Center,Sport
978,4210199,4210199,672,Sahabat Gym,"Jl. Tipar Cakung No. 17, Suka Pura, Cilincing, Jakarta Utara",,106.9244667,-6.1480155,3175060001,2404001,148552.0,POINT (106.9244667 -6.1480155),Fitness Center (Others),Fitness Center,Sport
979,4210222,4210222,603,Kasih Abadi Daycare,"Komplek Green Garden, Jl. Pinang Sari 5 Blok. B3 No. 1 RT 3/RW 2, Rorotan",081360814190,106.9496009,-6.1503463,3175060002,2014001,149504.0,POINT (106.9496009 -6.1503463),Daycare (Others),Daycare,Tourism
980,5445331,5445331,823,Swiss-belinn Kemayoran,"Complex Springhill, Jl. Benyamin Suaeb Ruas D7",,106.850492,-6.149457,3175020002,2018001,139560.0,POINT (106.850492 -6.149457),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
981,5445332,5445332,823,Putri Duyung Cottage,Jl. Lodan timur No. 7 Taman impian jaya area Putri duyung resort,,106.8416767,-6.1215142,3175020003,2018001,121304.0,POINT (106.8416767 -6.1215142),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
982,5445354,5445354,823,Maven Moi Suites,Kelapa Gading Barat,,106.8906727,-6.1492453,3175050001,2018001,146913.0,POINT (106.8906727 -6.1492453),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
983,5445359,5445359,823,Darcici Hotel Alur Laut,Jl. Plumpang Semper No. 6,,106.898475,-6.130679,3175040001,2018001,144122.0,POINT (106.898475 -6.130679),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
